created,text,retwc,hashtag,followers,friends
2017-09-07 15:58:02,b'RT @RollBackMalaria: #ClimateChange accelerates the spread of #malaria. @RollBackMalaria Board Chair attending #RC70 welcomes the signing o\xe2\x80\xa6',3,ClimateChange,4876,143
2017-09-07 15:57:43,"b""RT @MailOnline: Italy opens manslaughter probe over four-year-old girl's malaria death https://t.co/AoGoWa2sAE""",17,None,1896,1361
2017-09-07 15:57:41,"b""RT @MailOnline: Italy opens manslaughter probe over four-year-old girl's malaria death https://t.co/AoGoWa2sAE""",17,None,2070,2528
2017-09-07 15:57:18,"b""Italy opens manslaughter probe over four-year-old girl's malaria death https://t.co/AoGoWa2sAE""",17,None,2078870,2408
2017-09-07 15:57:15,"b'Top story: Italy treating death of girl killed by malaria as manslaughter | TOD\xe2\x80\xa6 https://t.co/4rWOt2AhzC, see more https://t.co/ZbgHQJYIwG'",0,None,1445,1121
2017-09-07 15:55:31,b'RT @RollBackMalaria: #ClimateChange accelerates the spread of #malaria. @RollBackMalaria Board Chair attending #RC70 welcomes the signing o\xe2\x80\xa6',3,ClimateChange,25,69
2017-09-07 15:55:17,"b'This gut worm is more common than malaria\xe2\x80\x94and it\xe2\x80\x99s a deadly, ticking time bomb https://t.co/46yrI8uKTu via @arstechnica'",0,None,2411,2470
2017-09-07 15:55:03,"b""Italy opens manslaughter probe over girl's malaria\xc2\xa0death https://t.co/fF8pAnw8Y7 https://t.co/RPccUiPrvg""",0,None,532,741
2017-09-07 15:54:48,"b'RT @NIAIDNews: NIAID funds &amp; conducts #mosquito research to fight #malaria, #Zika &amp; more. #WorldMosquitoDay https://t.co/av9xArV5kv'",5,mosquito,212,168
2017-09-07 15:52:39,b'Geography prof: What do you think of when I say Tropic?\nRandom student: Malaria!\n\xf0\x9f\x98\x82',0,None,785,2376
2017-09-07 15:52:19,"b""'I had to learn to walk again'\nMosquitos, malaria and near death for athlete \n https://t.co/9xjNWuM4UM""",0,None,416,159
2017-09-07 15:52:03,"b""RT @APHL: Thousands hit by malaria, dengue as South Asia's worst floods in a decade recede https://t.co/cSPPLcAMAL #NatlPrep""",3,NatlPrep,350,577
2017-09-07 15:51:02,"b'Transforming Intermittent Preventive Treatment for Optimal #Pregnancy #TIPTOP innovative, community-based https://t.co/SjDxizlQy8 #malaria'",1,Pregnancy,2939,2772
2017-09-07 15:50:32,b'Know of anyone traveling to an orphanage or school in a malaria endemic area? Please tell them about Nets 4 Kids! https://t.co/DvPqvEZIyp',0,None,27,102
2017-09-07 15:49:05,"b""@ticocarr @BitchWithA_W I've read three pieces Offit wrote in the topic. It's absolutely inexplicable how he could\xe2\x80\xa6 https://t.co/zePWg84epr""",0,None,4825,5298
2017-09-07 15:47:46,b'Need someone to help talk to dis malaria abeg \xf0\x9f\x98\x91\xf0\x9f\x98\x91',0,None,63,176
